feature,importance
bert_355,0.0016426382
bert_163,0.001642359
bert_383,0.0016402348
bert_186,0.0016346084
bert_180,0.0016329868
bert_216,0.0016312748
bert_237,0.0016281104
bert_81,0.0016270853
bert_47,0.0016249104
bert_257,0.0016198532
bert_256,0.0016190233
bert_302,0.0016162868
bert_372,0.0016154763
bert_353,0.001614522
bert_164,0.001613322
bert_352,0.0016111071
bert_87,0.0016101296
bert_70,0.0016094306
bert_205,0.0016087061
bert_54,0.0016058557
bert_191,0.0016017853
bert_206,0.0016010294
bert_116,0.0016005427
bert_142,0.0015943989
bert_310,0.001591449
bert_268,0.0015875353
bert_220,0.0015841703
bert_208,0.0015806295
bert_25,0.0015805718
bert_362,0.0015797821
bert_143,0.001577227
bert_303,0.0015768555
bert_227,0.0015758357
bert_259,0.0015728557
bert_351,0.0015717009
bert_65,0.0015704462
bert_150,0.0015638095
bert_371,0.0015607188
bert_169,0.0015589955
bert_381,0.0015523181
bert_360,0.0015519815
bert_286,0.0015510331
bert_96,0.0015496515
bert_254,0.001548002
bert_290,0.0015454734
bert_292,0.0015452097
bert_196,0.0015437
bert_50,0.0015436441
bert_192,0.0015428356
bert_178,0.0015390061
bert_325,0.0015332216
bert_90,0.0015312227
bert_89,0.001530239
bert_363,0.0015298821
bert_288,0.0015281208
bert_112,0.0015214485
bert_13,0.0015130176
bert_114,0.0015097783
bert_272,0.0015064351
bert_345,0.0015034258
bert_85,0.001498747
bert_109,0.0014939144
bert_276,0.0014890677
bert_274,0.0014790423
bert_17,0.0014781406
bert_193,0.001473307
bert_322,0.001472401
bert_99,0.0014709133
bert_38,0.0014691167
bert_240,0.0014647731
bert_306,0.0014642719
bert_173,0.0014622583
bert_107,0.0014609569
bert_278,0.001460604
bert_106,0.001459935
bert_236,0.0014584562
bert_275,0.0014581059
bert_84,0.0014577064
bert_358,0.0014457356
bert_144,0.0014446599
bert_33,0.0014442124
bert_110,0.0014436918
bert_73,0.0014430945
bert_134,0.0014426439
bert_323,0.0014389098
bert_174,0.001437401
bert_11,0.0014349126
bert_123,0.0014285594
bert_21,0.0014247152
bert_42,0.0014117102
bert_210,0.0014115522
bert_189,0.001407924
bert_167,0.0014054425
bert_165,0.0014026599
bert_195,0.0014009727
bert_74,0.0014001988
bert_204,0.001399738
bert_346,0.0013985079
bert_126,0.0013944533
bert_279,0.0013813402
bert_27,0.0013751924
bert_262,0.001374171
bert_0,0.0013720243
bert_52,0.0013717719
bert_83,0.0013631681
bert_94,0.0013627295
bert_118,0.0013618228
bert_66,0.0013600326
bert_24,0.0013588625
bert_242,0.0013542863
bert_289,0.001348921
bert_62,0.0013397745
bert_53,0.001334051
bert_12,0.0013308497
bert_4,0.0013302433
bert_67,0.0013246092
bert_39,0.0013197389
bert_82,0.0013023474
bert_22,0.0013017976
has_stone,0.0013007275
bert_162,0.0012921536
bert_34,0.0012915698
bert_51,0.0012857239
bert_43,0.0012748665
bert_5,0.0012680526
bert_3,0.0012675098
bert_380,0.0012633473
bert_100,0.0012048186
bert_8,0.0011943962
bert_79,0.0011887661
bert_31,0.0011865387
bert_18,0.0011832762
bert_9,0.0011706448
bert_111,0.0011121673
bert_1,0.0010657639
is_bali,0.0
