feature,importance
bert_78,0.0011227401
bert_102,0.001122666
bert_152,0.001119956
bert_191,0.0011189083
bert_121,0.0011166875
bert_293,0.0011129937
bert_34,0.0011074982
bert_106,0.001091411
bert_374,0.0010802702
bert_242,0.001079908
bert_232,0.0010780005
bert_355,0.0010744581
bert_61,0.0010690137
bert_45,0.0010611499
bert_363,0.0010602426
bert_178,0.001050352
bert_109,0.0010442483
bert_112,0.0010346789
bert_27,0.0010326273
bert_215,0.0010306714
bert_213,0.0010223241
bert_161,0.0010140025
bert_280,0.0010027896
bert_90,0.0009878248
bert_311,0.0009812142
bert_193,0.000979047
bert_306,0.000972709
bert_283,0.00097043
bert_96,0.0009624868
bert_4,0.00096020213
bert_192,0.00094893744
bert_50,0.0009361124
bert_224,0.0009304961
bert_59,0.00093031075
bert_8,0.0009205087
bert_371,0.0009204948
bert_157,0.00092033844
bert_169,0.0009184735
bert_63,0.00091837015
bert_260,0.00090937235
bert_126,0.0009046094
bert_305,0.0008988825
bert_66,0.0008961721
bert_9,0.0008944034
bert_197,0.00089134363
bert_256,0.00089104654
bert_17,0.00088378025
bert_198,0.0008804322
bert_328,0.00085926347
bert_295,0.0008480362
bert_322,0.0008467118
bert_125,0.0008441538
bert_364,0.00084152597
bert_185,0.00083128014
bert_189,0.00082457304
bert_274,0.0008223164
bert_290,0.00082182756
bert_359,0.00082101
bert_345,0.0008060977
bert_366,0.0008002615
bert_94,0.0007986211
bert_164,0.00079599203
bert_46,0.0007938824
bert_84,0.0007921351
bert_7,0.00078663265
bert_267,0.00077059795
bert_212,0.0007662863
bert_89,0.0007660545
bert_342,0.00076006295
bert_120,0.00075969286
bert_187,0.0007596561
bert_279,0.00075918844
bert_288,0.0007498912
bert_134,0.0007460148
bert_259,0.00073679583
bert_53,0.0007341824
bert_294,0.00072940474
bert_174,0.0007272591
bert_165,0.00072499196
bert_225,0.0007231504
bert_111,0.0007219374
bert_381,0.0007138564
bert_196,0.00071323506
bert_11,0.0007121535
bert_323,0.0007080012
bert_327,0.0007073622
bert_68,0.0007013224
bert_62,0.00070119376
bert_21,0.0006997703
bert_73,0.00068840774
bert_333,0.0006870991
bert_352,0.0006814703
bert_166,0.00068050635
bert_358,0.00067943404
bert_42,0.0006761744
bert_289,0.0006751723
bert_317,0.00066782243
bert_210,0.00066397357
bert_154,0.0006603121
bert_221,0.0006534251
bert_138,0.0006522853
bert_204,0.00063649483
bert_220,0.0006329929
bert_272,0.00063093734
bert_3,0.00062217127
bert_353,0.00062092015
bert_52,0.0006194966
bert_82,0.0006174252
bert_240,0.00059648504
bert_254,0.00057931687
bert_362,0.00057555316
bert_269,0.0005620609
bert_85,0.0005561994
bert_278,0.00054969575
bert_375,0.0005483655
bert_205,0.0005387336
bert_38,0.0005373243
bert_155,0.00052982307
bert_292,0.00051687943
bert_346,0.00051508355
bert_380,0.0005134911
bert_12,0.0004966117
bert_257,0.00048549063
bert_67,0.00043322225
bert_173,0.0004145845
bert_275,0.00040661887
bert_100,0.00040339088
bert_74,0.0003810596
has_cotton,7.1275805e-05
has_silver,2.6216176e-05
is_bestseller,0.0
is_bali,0.0
has_rattan,0.0
has_stone,0.0
